Date,AAPL,ADBE,AMZN,CRM,CSCO,GOOGL,INTC,META,MSFT,NVDA,ORCL,QCOM,TSLA
2020-12-18,123.55706024169922,502.95001220703125,160.08250427246094,225.4544219970703,39.44550704956055,85.79644775390625,42.9050407409668,274.8918762207031,210.4838104248047,13.2362642288208,60.78973388671875,133.80137634277344,231.6666717529297
2020-12-21,125.08857727050781,498.3900146484375,160.3090057373047,224.50279235839844,38.959381103515625,86.2109603881836,41.910606384277344,271.3016357421875,214.33544921875,13.296351432800293,60.24782180786133,133.23867797851562,216.6199951171875
2020-12-22,128.6492156982422,504.1700134277344,160.3260040283203,229.16197204589844,38.7944450378418,85.49823760986328,41.73884963989258,265.6327209472656,215.63543701171875,13.242497444152832,60.87382507324219,132.82113647460938,213.44667053222656
2020-12-23,127.75172424316406,496.9100036621094,159.2635040283203,225.4544219970703,38.52534103393555,85.89635467529297,42.1004524230957,266.6471252441406,212.82369995117188,12.974221229553223,61.01398468017578,133.3838653564453,215.32666015625
2020-12-24,128.7369842529297,499.8599853515625,158.63450622558594,223.81878662109375,38.66423797607422,86.19107818603516,42.55247497558594,265.9410095214844,214.4895477294922,12.958763122558594,60.6963005065918,135.04481506347656,220.58999633789062
2020-12-28,133.34130859375,498.95001220703125,164.197998046875,222.6886749267578,38.994102478027344,88.16921997070312,42.55247497558594,275.4886474609375,216.6175994873047,12.865265846252441,60.612205505371094,134.09181213378906,221.22999572753906
2020-12-29,131.56594848632812,502.1099853515625,166.10000610351562,220.52761840820312,38.75103759765625,87.36405181884766,44.64981460571289,275.26983642578125,215.837646484375,12.908398628234863,60.229122161865234,134.7725372314453,221.99667358398438
2020-12-30,130.444091796875,497.45001220703125,164.29249572753906,220.46815490722656,38.612152099609375,86.29496002197266,44.07123565673828,270.3866271972656,213.45924377441406,13.110353469848633,60.17305374145508,136.09764099121094,231.5933380126953
2020-12-31,129.4393310546875,500.1199951171875,162.84649658203125,220.5970001220703,38.846534729003906,87.10957336425781,45.038536071777344,271.66961669921875,214.1717987060547,13.019847869873047,60.44403076171875,138.266845703125,235.22332763671875
2021-01-04,126.23969268798828,485.3399963378906,159.3314971923828,218.39630126953125,38.47023391723633,85.79198455810547,44.902931213378906,267.4726257324219,209.61721801757812,13.078192710876465,59.565731048583984,134.7816162109375,243.2566680908203
2021-01-05,127.80047607421875,485.69000244140625,160.92550659179688,219.5957794189453,38.48773193359375,86.48382568359375,45.752723693847656,269.4915771484375,209.8193817138672,13.368659019470215,58.827579498291016,138.3485565185547,245.0366668701172
2021-01-06,123.49852752685547,466.30999755859375,156.91900634765625,214.2724151611328,38.855289459228516,85.63044738769531,46.1956901550293,261.87335205078125,204.37893676757812,12.580535888671875,58.686885833740234,137.22308349609375,251.9933319091797
2021-01-07,127.71270751953125,477.739990234375,158.10800170898438,216.08651733398438,39.34535217285156,88.1881103515625,47.18107986450195,267.2737121582031,210.19491577148438,13.308069229125977,59.155860900878906,141.31643676757812,272.0133361816406
2021-01-08,128.8149871826172,485.1000061035156,159.13499450683594,220.11126708984375,39.432861328125,89.35560607910156,46.69291305541992,266.1100769042969,211.47560119628906,13.24100112915039,59.44662094116211,142.1696319580078,293.3399963378906
2021-01-11,125.82022857666016,474.239990234375,155.7104949951172,216.3541717529297,39.695396423339844,87.29098510742188,46.593467712402344,255.4386444091797,209.4246063232422,13.58482551574707,59.11833190917969,141.6885986328125,270.39666748046875
2021-01-12,125.64464569091797,471.6499938964844,156.04150390625,213.64791870117188,40.071693420410156,86.35360717773438,48.130306243896484,249.7200164794922,206.9595184326172,13.448441505432129,58.54619216918945,140.1819610595703,283.14666748046875
2021-01-13,127.68341064453125,472.04998779296875,158.29449462890625,216.28475952148438,39.695396423339844,86.84168243408203,51.48423767089844,250.26699829101562,208.3172149658203,13.495314598083496,58.20854187011719,142.8775634765625,284.8033447265625
2021-01-14,125.75194549560547,463.2699890136719,156.37350463867188,213.7272186279297,39.51162338256836,86.0300521850586,53.56350326538086,244.29974365234375,205.12037658691406,13.164706230163574,57.77708435058594,145.99072265625,281.6666564941406
2021-01-15,124.02530670166016,458.0799865722656,155.21249389648438,211.28857421875,39.756656646728516,85.86602783203125,52.05378341674805,249.98855590820312,204.76406860351562,12.82487678527832,57.9459114074707,142.5780487060547,275.38665771484375
2021-01-19,124.69839477539062,456.5,156.03799438476562,214.87710571289062,39.546630859375,88.69158935546875,52.4244384765625,259.6754150390625,208.41354370117188,12.990178108215332,57.486324310302734,148.64097595214844,281.51666259765625
2021-01-20,128.79547119140625,469.7300109863281,163.16900634765625,221.49911499023438,39.677894592285156,93.4430923461914,53.039161682128906,266.0205993652344,216.02053833007812,13.32975959777832,57.73957443237305,149.39430236816406,283.48333740234375
2021-01-21,133.51690673828125,472.0199890136719,165.34950256347656,220.24014282226562,39.47661209106445,93.64586639404297,56.465415954589844,271.38116455078125,216.62721252441406,13.830161094665527,57.41128921508789,149.53042602539062,281.663330078125
2021-01-22,135.66305541992188,472.44000244140625,164.6114959716797,223.80886840820312,39.179080963134766,94.0638656616211,51.222076416015625,273.0022888183594,217.5708465576172,13.675577163696289,56.61404037475586,147.41567993164062,282.21331787109375
2021-01-25,139.41871643066406,473.44000244140625,164.6999969482422,223.95755004882812,39.40660858154297,94.14935302734375,50.11916732788086,276.4931335449219,221.0181427001953,13.616488456726074,57.12053298950195,149.2127685546875,293.6000061035156
2021-01-26,139.65284729003906,476.2799987792969,166.30650329589844,224.29461669921875,39.607879638671875,94.82878112792969,49.911231994628906,280.51104736328125,223.71429443359375,13.399075508117676,57.96467208862305,147.53367614746094,294.36334228515625
2021-01-27,138.57980346679688,460.0,161.62899780273438,222.8274688720703,39.99293899536133,90.4048080444336,48.446712493896484,270.65521240234375,224.26315307617188,12.882967948913574,58.668121337890625,139.4739990234375,288.0533447265625
2021-01-28,133.7315216064453,465.6700134277344,161.88099670410156,224.5325164794922,39.677894592285156,92.10760498046875,50.68870544433594,263.55413818359375,230.06951904296875,13.01585865020752,57.4206657409668,141.18031311035156,278.4766540527344
2021-01-29,128.72720336914062,458.7699890136719,160.30999755859375,223.60069274902344,39.01280212402344,90.82329559326172,50.18244934082031,256.92047119140625,223.3579864501953,12.954776763916016,56.67970275878906,141.8428955078125,264.510009765625
2021-02-01,130.85382080078125,470.0,167.1439971923828,226.47549438476562,39.73039627075195,94.08921813964844,51.24919128417969,260.5804443359375,230.76278686523438,13.2013578414917,57.69266891479492,146.65328979492188,279.9366760253906
